Data,CO,MP10,O3,MP2.5,SO2
06/01/2017,,14.0,48.0,7.0,0.0
06/01/2018,0.0,13.0,39.0,6.0,2.0
06/01/2019,0.0,22.0,46.0,7.0,2.0
06/01/2020,1.0,13.0,,,
06/01/2021,3.0,,25.0,,2.0
06/01/2022,1.0,,22.0,10.0,4.0
06/02/2015,,9.0,30.0,,0.0
06/02/2016,0.0,11.0,41.0,5.0,2.0
06/02/2017,0.0,7.0,36.0,,2.0
06/02/2018,0.0,12.0,18.0,,2.0
06/02/2019,0.0,12.0,38.0,5.0,0.0
06/02/2020,0.0,9.0,28.0,4.0,0.0
06/02/2021,1.0,13.0,33.0,10.0,2.0
06/02/2022,0.0,16.0,18.0,10.0,2.0
06/03/2015,1.0,19.0,55.0,,2.0
06/03/2016,0.0,8.0,27.0,,0.0
06/03/2017,0.0,17.0,66.0,6.0,2.0
06/03/2018,,40.0,44.0,11.0,2.0
06/03/2019,0.0,14.0,30.0,5.0,0.0
06/03/2020,0.0,13.0,34.0,3.0,0.0
06/03/2021,1.0,22.0,33.0,12.0,2.0
06/03/2022,0.0,10.0,23.0,9.0,0.0
06/04/2015,0.0,5.0,21.0,,2.0
06/04/2016,0.0,12.0,29.0,8.0,2.0
06/04/2017,0.0,13.0,56.0,3.0,2.0
06/04/2018,1.0,19.0,36.0,6.0,2.0
06/04/2019,1.0,25.0,37.0,10.0,0.0
06/04/2020,0.0,34.0,44.0,6.0,0.0
06/04/2021,0.0,14.0,38.0,11.0,2.0
06/04/2022,0.0,9.0,31.0,10.0,2.0
06/05/2015,0.0,7.0,24.0,,2.0
06/05/2016,0.0,17.0,30.0,,0.0
06/05/2017,0.0,16.0,27.0,7.0,4.0
06/05/2018,0.0,27.0,50.0,10.0,4.0
06/05/2019,0.0,24.0,34.0,7.0,4.0
06/05/2020,1.0,39.0,37.0,10.0,4.0
06/05/2021,1.0,37.0,35.0,32.0,6.0
06/05/2022,1.0,38.0,22.0,30.0,2.0
06/06/2015,0.0,9.0,23.0,,2.0
06/06/2016,1.0,39.0,14.0,40.0,4.0
06/06/2017,0.0,18.0,57.0,12.0,6.0
06/06/2018,0.0,37.0,40.0,27.0,2.0
06/06/2019,0.0,17.0,50.0,3.0,0.0
06/06/2020,0.0,18.0,46.0,,0.0
06/06/2021,0.0,11.0,27.0,10.0,2.0
06/06/2022,0.0,10.0,31.0,26.0,0.0
06/07/2015,0.0,18.0,30.0,,2.0
06/07/2016,1.0,15.0,23.0,11.0,2.0
06/07/2017,0.0,10.0,50.0,,4.0
06/07/2018,1.0,37.0,54.0,27.0,4.0
06/07/2019,0.0,30.0,41.0,5.0,16.0
06/07/2020,0.0,25.0,50.0,7.0,2.0
06/07/2021,0.0,30.0,45.0,30.0,18.0
06/07/2022,0.0,14.0,22.0,11.0,0.0
06/08/2015,0.0,27.0,59.0,,4.0
06/08/2016,0.0,18.0,46.0,12.0,2.0
06/08/2017,0.0,14.0,56.0,,2.0
06/08/2018,0.0,30.0,32.0,12.0,2.0
06/08/2019,0.0,16.0,38.0,,2.0
06/08/2020,0.0,23.0,43.0,5.0,8.0
06/08/2021,0.0,14.0,32.0,8.0,2.0
06/08/2022,1.0,48.0,35.0,47.0,0.0
06/09/2015,0.0,15.0,,,0.0
06/09/2016,0.0,17.0,30.0,10.0,2.0
06/09/2017,,34.0,60.0,10.0,4.0
06/09/2018,0.0,38.0,65.0,10.0,0.0
06/09/2019,0.0,20.0,,6.0,0.0
06/09/2020,,27.0,69.0,9.0,18.0
06/09/2021,1.0,60.0,59.0,47.0,10.0
06/09/2022,0.0,26.0,28.0,11.0,0.0
06/10/2016,1.0,18.0,23.0,29.0,2.0
06/10/2017,,26.0,,9.0,
06/10/2018,0.0,17.0,43.0,8.0,4.0
06/10/2019,0.0,24.0,52.0,6.0,0.0
06/10/2020,0.0,61.0,47.0,30.0,0.0
06/10/2021,0.0,26.0,46.0,29.0,0.0
06/10/2022,0.0,18.0,26.0,9.0,0.0
06/11/2015,0.0,22.0,58.0,26.0,4.0
