Data,CO,MP10,O3,MP2.5,SO2
05/07/2020,0.0,,46.0,,6.0
05/07/2021,1.0,,48.0,49.0,0.0
05/07/2022,0.0,14.0,30.0,35.0,8.0
05/08/2015,0.0,57.0,68.0,,4.0
05/08/2016,1.0,39.0,54.0,34.0,2.0
05/08/2017,0.0,32.0,45.0,40.0,12.0
05/08/2018,1.0,48.0,41.0,53.0,16.0
05/08/2019,0.0,23.0,37.0,11.0,4.0
05/08/2020,1.0,25.0,47.0,32.0,4.0
05/08/2021,0.0,30.0,52.0,27.0,0.0
05/08/2022,1.0,31.0,55.0,53.0,4.0
05/09/2015,1.0,65.0,73.0,,2.0
05/09/2016,0.0,30.0,41.0,12.0,0.0
05/09/2017,1.0,34.0,42.0,29.0,0.0
05/09/2018,0.0,19.0,60.0,10.0,6.0
05/09/2019,1.0,49.0,52.0,46.0,6.0
05/09/2020,0.0,21.0,66.0,12.0,0.0
05/09/2021,1.0,36.0,65.0,38.0,4.0
05/09/2022,0.0,26.0,47.0,35.0,2.0
05/10/2016,,30.0,,26.0,
05/10/2017,0.0,20.0,67.0,27.0,2.0
05/10/2018,0.0,34.0,43.0,43.0,6.0
05/10/2019,0.0,22.0,52.0,27.0,0.0
05/10/2020,1.0,38.0,44.0,47.0,6.0
05/10/2021,1.0,22.0,74.0,46.0,2.0
05/10/2022,1.0,20.0,53.0,27.0,2.0
05/11/2015,,54.0,,37.0,
05/11/2016,0.0,26.0,,10.0,
05/11/2017,1.0,15.0,70.0,7.0,4.0
05/11/2018,0.0,19.0,26.0,8.0,2.0
05/11/2019,1.0,38.0,58.0,38.0,2.0
05/11/2020,1.0,17.0,,26.0,2.0
05/11/2021,1.0,23.0,43.0,32.0,4.0
05/11/2022,0.0,9.0,49.0,9.0,6.0
05/12/2015,0.0,14.0,55.0,11.0,0.0
05/12/2016,0.0,34.0,45.0,6.0,0.0
05/12/2017,1.0,23.0,77.0,29.0,2.0
05/12/2018,1.0,20.0,38.0,,2.0
05/12/2019,1.0,18.0,26.0,7.0,2.0
05/12/2020,1.0,21.0,52.0,26.0,0.0
05/12/2021,0.0,8.0,26.0,7.0,0.0
05/12/2022,0.0,,17.0,10.0,0.0
06/01/2015,0.0,22.0,66.0,,0.0
06/01/2016,1.0,28.0,45.0,26.0,0.0
06/01/2017,1.0,39.0,59.0,26.0,0.0
06/01/2018,1.0,,47.0,,0.0
06/01/2019,1.0,,40.0,,4.0
06/01/2020,1.0,11.0,13.0,11.0,
06/01/2021,1.0,20.0,40.0,30.0,0.0
06/01/2022,0.0,6.0,18.0,,0.0
06/02/2015,1.0,9.0,34.0,,0.0
06/02/2016,0.0,26.0,74.0,10.0,0.0
06/02/2017,1.0,25.0,,,0.0
06/02/2018,1.0,,30.0,,2.0
06/02/2019,0.0,,32.0,,0.0
06/02/2020,1.0,14.0,18.0,26.0,8.0
06/02/2021,0.0,10.0,26.0,10.0,2.0
06/02/2022,0.0,10.0,22.0,9.0,0.0
06/03/2015,0.0,31.0,46.0,,4.0
06/03/2016,1.0,19.0,42.0,12.0,2.0
06/03/2017,1.0,39.0,44.0,32.0,0.0
06/03/2018,1.0,33.0,65.0,32.0,0.0
06/03/2019,1.0,23.0,26.0,,0.0
06/03/2020,0.0,15.0,50.0,32.0,4.0
06/03/2021,0.0,26.0,26.0,10.0,4.0
06/03/2022,0.0,11.0,22.0,27.0,2.0
06/04/2015,0.0,22.0,34.0,,0.0
06/04/2016,0.0,29.0,58.0,,0.0
06/04/2017,1.0,13.0,34.0,,0.0
06/04/2018,0.0,25.0,28.0,27.0,8.0
06/04/2019,1.0,31.0,,46.0,
06/04/2020,1.0,8.0,28.0,30.0,6.0
06/04/2021,0.0,27.0,32.0,30.0,0.0
06/04/2022,1.0,16.0,30.0,38.0,2.0
06/05/2015,0.0,16.0,28.0,,2.0
06/05/2016,1.0,53.0,53.0,34.0,0.0
06/05/2017,1.0,24.0,26.0,34.0,2.0
06/05/2018,0.0,,62.0,,10.0
06/05/2019,1.0,30.0,29.0,29.0,2.0
06/05/2020,1.0,26.0,36.0,,2.0
06/05/2021,1.0,,38.0,58.0,4.0
06/05/2022,1.0,25.0,24.0,,0.0
06/06/2015,1.0,18.0,28.0,,2.0
06/06/2016,1.0,,41.0,40.0,0.0
06/06/2017,1.0,37.0,65.0,47.0,2.0
06/06/2018,1.0,35.0,30.0,34.0,0.0
06/06/2019,1.0,26.0,35.0,29.0,2.0
06/06/2020,1.0,20.0,46.0,,0.0
06/06/2021,0.0,,37.0,32.0,4.0
06/06/2022,1.0,21.0,46.0,43.0,0.0
06/07/2016,1.0,55.0,40.0,34.0,2.0
06/07/2017,1.0,33.0,30.0,32.0,8.0
06/07/2018,1.0,,58.0,,28.0
06/07/2019,1.0,,41.0,,0.0
06/07/2020,1.0,,53.0,,4.0
06/07/2021,1.0,,62.0,47.0,4.0
06/07/2022,0.0,14.0,35.0,32.0,2.0
06/08/2015,1.0,61.0,63.0,,6.0
06/08/2016,1.0,40.0,78.0,43.0,2.0
06/08/2017,0.0,31.0,58.0,46.0,4.0
06/08/2018,1.0,44.0,27.0,47.0,16.0
06/08/2019,0.0,21.0,31.0,10.0,0.0
06/08/2020,1.0,24.0,46.0,12.0,0.0
06/08/2021,0.0,22.0,41.0,8.0,0.0
06/08/2022,1.0,43.0,65.0,64.0,6.0
06/09/2015,0.0,29.0,59.0,,0.0
06/09/2016,0.0,36.0,,27.0,0.0
06/09/2017,0.0,44.0,62.0,37.0,6.0
06/09/2018,0.0,34.0,69.0,38.0,8.0
06/09/2019,0.0,27.0,38.0,29.0,0.0
06/09/2020,0.0,22.0,49.0,34.0,2.0
06/09/2021,1.0,68.0,49.0,71.0,2.0
06/09/2022,0.0,22.0,48.0,27.0,2.0
06/10/2015,0.0,31.0,59.0,,4.0
06/10/2016,,25.0,,10.0,
06/10/2017,1.0,21.0,42.0,12.0,2.0
06/10/2018,0.0,22.0,35.0,11.0,2.0
06/10/2019,0.0,30.0,58.0,32.0,2.0
06/10/2020,1.0,34.0,45.0,47.0,4.0
06/10/2021,1.0,22.0,58.0,37.0,2.0
06/10/2022,1.0,16.0,37.0,27.0,0.0
06/11/2015,,42.0,,26.0,
06/11/2016,0.0,22.0,,9.0,
06/11/2017,0.0,18.0,61.0,9.0,2.0
06/11/2018,0.0,14.0,25.0,6.0,0.0
06/11/2019,1.0,40.0,30.0,47.0,2.0
06/11/2020,1.0,26.0,,30.0,2.0
06/11/2021,1.0,17.0,46.0,34.0,4.0
